steps,collision,speed,object collision,velocity violation,velocity,success,return
16100,2,0,0,1,,0,-127.996293792966
16232,0,0,2,2,,0,-89.824026504505
16403,1,0,0,1,,0,-107.726774919586
16604,0,0,0,0,,0,-36.1723455565772
16734,0,0,0,0,,1,-49.0826983957743
16935,0,0,0,0,,0,-134.637843491502
17136,0,0,0,0,,0,-86.4450633972452
17262,0,0,2,2,,0,-134.694702904618
17463,0,0,0,0,,0,-93.7546598401628
17585,0,0,0,0,,0,-142.049577091931
17747,1,0,0,0,0.229961374906761,0,-88.2162347396078
17919,2,0,0,2,0.315537486133676,0,-45.0947921640792
18077,2,0,0,0,,0,-55.3230776864353
18211,0,0,0,0,,1,-66.8123497219756
18412,0,0,0,0,,0,-72.4612456227427
18576,1,0,0,1,,0,-84.546852209406
18713,0,0,1,1,,0,-125.435038796059
18871,2,0,0,2,,0,-146.452952936932
19007,0,0,2,2,,0,-56.9584731802464
19128,0,0,2,1,,0,-87.8000773574406
19329,0,0,0,0,,0,-104.481533694783
19453,0,0,1,1,,0,-173.091245431008
19654,0,0,0,0,,0,-115.843062851247
19855,0,0,0,0,,0,-69.1818270606078
19978,0,0,0,0,,1,-84.7132419038389
20090,0,0,0,0,,1,-111.425283227793
20211,0,0,2,1,,0,-74.1183148492563
20339,0,0,1,1,,0,-141.402374748168
20540,0,0,0,0,,0,-115.751973610402
20659,0,0,0,0,,1,-80.2328608304483
20817,1,0,0,1,,0,-100.917714247556
20936,0,0,0,0,,1,-110.245761139235
21116,0,0,1,1,,0,-77.0973547729968
21317,0,0,0,0,,0,-75.0977051315417
21508,1,0,0,0,,0,-91.489946654867
21670,2,0,0,2,,0,-90.7374403974
21794,0,0,2,2,,0,-139.972035254652
21959,1,0,0,1,,0,-155.479186398424
22112,0,0,2,2,,0,-89.9740082402522
22269,1,0,0,1,,0,-110.56184279041
22430,2,0,0,2,,0,-117.514289910629
22538,0,0,0,0,,1,-124.117887471138
22706,1,0,0,1,,0,-72.0027086247151
22863,1,0,0,1,,0,-101.269149743354
22989,0,0,2,0,,0,-111.017348074255
23118,0,0,1,1,,0,-144.496664902513
23294,1,0,0,1,0.225675048396722,0,-125.275176644499
23453,2,0,0,2,,0,-126.327208009874
23654,0,0,0,0,,0,-128.027659957891
23855,0,0,0,0,,0,-99.1884432381845
24015,1,0,0,1,,0,-104.516475023011
24194,1,0,0,1,,0,-105.422173258314
24347,2,0,0,2,,0,-66.9982525516147
24484,0,0,2,0,,0,-83.1525010517171
24610,0,0,4,1,,0,-88.5120496872904
24811,0,0,0,0,,0,-76.7611254670231
24940,0,0,0,0,,1,-101.574444904138
25112,2,0,0,2,,0,-133.44897419253
25275,1,0,0,1,,0,-67.5878455442109
25476,0,0,0,0,,0,-111.753070916263
25649,2,0,0,2,,0,-106.684259508471
25833,1,0,0,1,,0,-105.805575536841
25986,1,0,0,1,,0,-82.6086178412195
26141,2,0,0,2,,0,-101.388514591231
26342,0,0,0,0,,0,-158.68604134925
26455,0,0,0,0,,1,-67.0105644486999
26656,0,0,0,0,,0,-73.7559448255809
26857,0,0,0,0,,0,-111.9245160891
27058,0,0,0,0,,0,-150.839485182362
27222,2,0,0,2,0.208737467685888,0,-111.22510037635
27342,0,0,1,1,,0,-170.25798502498
27499,2,0,0,2,,0,-73.864922844888
27621,0,0,0,0,0.31504912276272,1,-73.2073275007061
27796,2,0,0,2,0.214690681713403,0,-86.1430026072233
27958,1,0,0,1,,0,-119.956789628202
28159,0,0,0,0,,0,-127.880649271793
28316,1,0,0,1,0.225713100964806,0,-80.0366520650742
28448,0,0,1,1,0.23433956502295,0,-70.8495684772121
28596,0,0,0,0,0.296344402860961,1,-95.1624664336022
28750,1,0,0,1,,0,-137.892184930074
28902,2,0,0,2,0.254258241170795,0,-101.910371456047
29054,1,0,0,1,,0,-128.279628213275
29165,0,0,0,0,,1,-182.840391824722
29304,0,0,1,1,0.214993038206642,0,-59.8362363489178
29505,0,0,0,0,,0,-139.377381574163
29659,1,0,0,1,0.229892096920212,0,-80.5566183056117
29778,0,0,1,1,,0,-94.5610882519907
29932,0,0,0,0,,1,-142.812487205462
30038,0,0,0,0,,1,-122.49527329022
30149,0,0,0,0,,1,-79.0687986366889
30350,0,0,0,0,,0,-83.494840707742
30551,0,0,0,0,,0,-84.7896767172601
30678,0,0,2,2,,0,-92.2045089127587
30795,0,0,0,0,,1,-120.933035425522
30956,2,0,0,2,,0,-91.9579325723232
31157,0,0,0,0,0.253917824129578,0,-67.4978544076016
31322,2,0,0,2,,0,-72.9067639357638
31480,1,0,0,1,,0,-182.175812959118
31646,1,0,0,1,0.253236297079194,0,-87.9484822592721
31773,0,0,0,0,,1,-113.57095243892
31887,0,0,0,0,0.29041121440336,1,-107.071649556909
32029,0,0,0,0,,1,-113.443622431378
32136,0,0,0,0,,1,-97.3705152067033
32279,0,0,0,0,,1,-159.553515042081
