,steps,collision,speed violation,ik violation,object collision,velocity violation,velocity during collision,success,return
461,2305000,0,0,0,0,0,,1,725.595269877398
462,2310000,0,0,0,0,0,,1,871.603339620422
463,2315000,0,0,0,0,0,,0,-180.667906094483
464,2320000,0,0,0,0,0,,0,-156.424392651475
465,2325000,0,0,0,0,0,,0,-158.094622739901
466,2330000,0,0,0,0,0,,0,99.6110361658333
467,2335000,0,0,0,0,0,,1,856.017506891796
468,2340000,0,0,0,0,0,,0,59.7799656129391
469,2345000,0,0,0,0,0,,0,-195.354096655573
470,2350000,0,0,0,0,0,,0,-149.109372525269
471,2355000,0,0,0,0,0,,0,-169.885466301533
472,2360000,0,0,0,0,0,,0,-125.201705842693
473,2365000,0,0,0,0,0,,1,825.984663673166
